                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.68759,                0.57824,                 1.0021,                0.90186,                0.76053,                0.92102,                 0.7107,                0.91719,                0.70161,                 1.1725,             0.00055188,             0.00055188,             0.00055188
                     65,                0.70124,                0.58897,                 1.0108,                0.76557,                0.76465,                 0.8336,                0.68256,                0.78938,                0.59846,                 1.0668,             0.00053773,             0.00053773,             0.00053773
                     66,                0.64841,                0.53634,                 0.9754,                0.87336,                0.65094,                 0.7719,                0.63336,                 0.8722,                0.67581,                 1.0634,             0.00052359,             0.00052359,             0.00052359
                     67,                0.64579,                0.53393,                0.98341,                0.92153,                0.64865,                0.77264,                 0.6311,                0.87785,                0.80762,                 1.0823,             0.00050944,             0.00050944,             0.00050944
                     68,                0.68826,                0.55471,                 1.0078,                0.69107,                0.83013,                0.81067,                0.64873,                0.82524,                0.72194,                   1.12,             0.00049529,             0.00049529,             0.00049529
                     69,                0.66718,                0.52087,                0.99329,                0.81458,                0.80768,                0.84785,                 0.6905,                 0.7954,                0.64765,                 1.0854,             0.00048114,             0.00048114,             0.00048114
                     70,                0.64981,                 0.4941,                0.98711,                0.85158,                0.82418,                 0.8639,                0.69969,                 1.0189,                0.58034,                 1.1436,               0.000467,               0.000467,               0.000467
                     71,                0.63648,                 0.4746,                 0.9832,                0.90176,                0.78251,                0.85722,                0.69152,                  1.088,                0.62356,                 1.1185,             0.00045285,             0.00045285,             0.00045285
                     72,                0.61093,                0.49677,                0.98525,                0.78859,                0.84111,                 0.8549,                0.69774,                 1.0879,                0.62984,                 1.0774,              0.0004387,              0.0004387,              0.0004387
                     73,                0.62913,                 0.5093,                0.97399,                0.87628,                0.79853,                0.88372,                0.69635,                 1.0768,                0.65716,                 1.1205,             0.00042456,             0.00042456,             0.00042456
                     74,                0.62285,                0.48885,                0.98212,                0.80072,                0.86188,                 0.8875,                0.69508,                 1.0374,                0.63643,                 1.1356,             0.00041041,             0.00041041,             0.00041041
                     75,                0.61468,                0.47106,                0.96796,                0.90222,                0.75658,                0.85471,                0.66439,                0.97974,                0.67646,                 1.0817,             0.00039626,             0.00039626,             0.00039626
                     76,                  0.613,                0.47038,                0.96277,                 0.9048,                0.76229,                 0.8321,                0.65197,                0.98558,                 0.6874,                 1.1199,             0.00038211,             0.00038211,             0.00038211
                     77,                0.59173,                0.48234,                0.97216,                0.86628,                 0.7591,                0.81917,                0.61594,                 1.0335,                0.63989,                 1.1897,             0.00036797,             0.00036797,             0.00036797
                     78,                0.61446,                0.47083,                0.96301,                0.88957,                0.75687,                0.84269,                0.65198,                 1.0331,                0.62402,                 1.1973,             0.00035382,             0.00035382,             0.00035382
                     79,                0.60907,                0.47213,                0.99347,                0.79198,                0.89048,                0.88337,                0.68503,                0.94498,                0.56714,                 1.1448,             0.00033967,             0.00033967,             0.00033967
                     80,                 0.5813,                0.44485,                0.95666,                0.82182,                0.84624,                 0.8877,                0.70415,                0.95811,                0.58615,                 1.1461,             0.00032553,             0.00032553,             0.00032553
                     81,                0.62653,                0.49857,                0.99071,                0.81181,                0.86523,                0.89878,                0.70159,                 1.0197,                0.58037,                 1.1701,             0.00031138,             0.00031138,             0.00031138
                     82,                0.63485,                0.48057,                 1.0152,                0.82834,                0.83196,                 0.8902,                0.70597,                 1.0021,                 0.5671,                 1.1783,             0.00029723,             0.00029723,             0.00029723
                     83,                0.60316,                0.46467,                0.96566,                0.76571,                0.88981,                0.86406,                0.66723,                  1.015,                0.55302,                 1.1782,             0.00028308,             0.00028308,             0.00028308
                     84,                0.58971,                0.44148,                0.95429,                0.85032,                0.72894,                0.82344,                0.63948,                 1.0487,                0.53707,                 1.2053,             0.00026894,             0.00026894,             0.00026894
                     85,                0.57571,                 0.4185,                0.96005,                0.82936,                0.78721,                0.83167,                0.64061,                 1.0924,                0.60304,                 1.2363,             0.00025479,             0.00025479,             0.00025479
                     86,                0.58249,                0.43347,                0.97136,                0.81886,                0.82002,                0.84866,                0.67319,                 1.0782,                 0.5849,                 1.2481,             0.00024064,             0.00024064,             0.00024064
                     87,                0.54442,                0.41562,                0.94131,                0.84184,                0.78418,                0.88348,                 0.7025,                 1.0283,                0.61031,                 1.1919,              0.0002265,              0.0002265,              0.0002265
                     88,                0.58271,                0.44525,                0.95743,                0.72672,                0.90705,                0.89642,                0.70915,                 1.0166,                 0.5854,                 1.1695,             0.00021235,             0.00021235,             0.00021235
                     89,                0.54561,                0.41785,                 0.9578,                0.83941,                0.84982,                0.90883,                0.72139,                0.99654,                0.55881,                 1.1518,              0.0001982,              0.0001982,              0.0001982
                     90,                0.53696,                0.41379,                0.94642,                0.73308,                0.94872,                0.90525,                0.72183,                0.97399,                0.53711,                 1.1277,             0.00018406,             0.00018406,             0.00018406
                     91,                0.47877,                0.35514,                0.88333,                0.75409,                0.91146,                0.91323,                0.74495,                0.93437,                 0.5133,                 1.1019,             0.00016991,             0.00016991,             0.00016991
                     92,                0.47514,                0.36622,                0.90888,                0.74897,                0.89244,                0.90268,                0.72116,                0.96429,                0.52575,                 1.0947,             0.00015576,             0.00015576,             0.00015576
                     93,                0.49433,                0.35619,                0.88187,                0.88225,                0.80306,                0.90853,                0.71157,                 1.0298,                0.55267,                 1.0975,             0.00014161,             0.00014161,             0.00014161
                     94,                0.46764,                0.32598,                0.87266,                0.88479,                0.83654,                0.90471,                0.73027,                0.99715,                 0.5378,                 1.1049,             0.00012747,             0.00012747,             0.00012747
                     95,                 0.4597,                0.32885,                0.88268,                0.87015,                0.84982,                0.89648,                  0.732,                0.96853,                0.54914,                 1.1223,             0.00011332,             0.00011332,             0.00011332
                     96,                0.47038,                0.34153,                0.89546,                 0.8819,                0.85949,                0.89131,                0.73327,                0.95495,                0.59208,                 1.1374,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.43151,                0.31234,                0.87116,                0.88253,                0.85589,                0.88884,                0.72471,                 0.9622,                0.59401,                 1.1451,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.44646,                0.33072,                0.88483,                0.88898,                0.84114,                 0.8797,                0.70689,                0.98302,                0.57704,                 1.1522,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.42347,                0.30677,                0.87673,                0.83173,                0.84615,                0.86521,                0.70287,                0.99081,                0.58944,                 1.1459,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.45243,                0.32023,                0.87475,                0.83728,                0.84615,                0.86351,                0.70203,                0.99935,                0.58643,                 1.1399,             4.2584e-05,             4.2584e-05,             4.2584e-05
